code,system
D104z00,readv2
D104211,readv2
D104.00,readv2
D104A00,readv2
D104200,readv2
1171.0,readv2
32943.0,readv2
105439.0,readv2
45151.0,readv2
71992.0,readv2
8866.0,readv2
73946.0,readv2
31075.0,readv2
21643.0,readv2
31405.0,readv2
57144.0,readv2
46733.0,readv2
54429.0,readv2
66137.0,readv2
4666.0,readv2
37808.0,readv2
D56.9,readv2
D104z11,readv2
D104.12,readv2
D104311,readv2
D104300,readv2
D56.0,readv2
D104011,readv2
D104000,readv2
D104811,readv2
D104700,readv2
D104600,readv2
D104900,readv2
D56.1,readv2
D56.2,readv2
Dyu1100,readv2
D56.8,readv2